id,time,age,gender,nation,who,education,region,not_kz,played_vg,skills,skills_desc,culture_together,gaming_event,clubs,sleeping_trouble,sick,nation_important,play_only_nation,language_vg,language_communicate,barrier,barrier_desc,barrier_games,prefer_with,prefer_who,type_communication,platform,type_vg,discover_vg,factor_to_play,affect_relationship,affect_wellbeing,closer_teammates,discuss_vg,game_community,game_comunity_name,game_comunity_game,why_games,motivation_continue,for_competition,feel_while_playing,emotions_affect_while_playing,consequences,consequences_p_n,consequences_desc,mental_affect_vg,mental_desc,drained_after,freq_per_week,when_play,time_play,genre_vg,char,char_desc
102,16042023 19:31:15,20-25,Male ,Turk,Student,Average (full) general,Kostanay region,,Yes,Yes,Реакция ,Yes,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,Both,"Alone, friends",Voice,PC,Singleplayer,"recommendations, Social media, Ads","Graphics, Storyline, Price, reviews","No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,fun,"gameplay, new goals","Yes, I play for the competition","satisfaction, excitement, joy",Make the game more interesting,Yes,Positive,,Well,"Release, relax ",5,Less than 1 hour per week,I only play games on certain days,In the evening,"Action, Puzzle, Strategy, Sports",Kind characters,"interesting, motives"
103,16042023 19:34:07,16-19,Male ,Kazakh,Student,Incomplete higher professional education,Almaty region,,Yes,Yes,At least geographic knowledge ,Yes,No,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,friends,Voice,"PC, Mobile",Both,"recommendations, Social media, Ads","Graphics, Storyline, Price, personal interest","No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation",gameplay,"No, I play for other purposes","satisfaction, joy",Make the game more interesting,No,,,Well,Well,10,1-5 hours per week,I only play games on certain days,In the evening,"Action, Strategy, Sports, Simulation",Kind characters,"interesting, design"
104,16042023 19:35:15,20-25,Female ,Kazakh,Student,Higher professional education,Almaty region,,Yes,Yes,"реакция, стратегическое мышление",Yes,No,Yes,I have serious problems sleeping,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends",Voice,Mobile,Multiplayer,"recommendations, Social media","Storyline, Price, reviews, personal interest","No, games don't affect our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,"fun, relaxation","gameplay, improve skills","Yes, I play for the competition",joy,Make the game more interesting,No,Positive,,Well,отдыхаю,5,1-5 hours per week,I only play games on certain days,At night,Action,Neutral characters,"motives, biography"
105,16042023 20:01:25,20-25,Male ,Kazakh,Student,Initial professional,Almaty region,,Yes,Yes,Quick reaction ,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,Kazakh,Russian,"No, I can safely play",,,Both,Alone,Chat,PC,Both,Social media,"Storyline, Price","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation",gameplay,"No, I play for other purposes",satisfaction,Can affect my mood in real life,Yes,Negative,,Well,Just good mood ,6,1-5 hours per week,I only play games on certain days,In the afternoon,"Action, Sports, Simulation",Neutral characters,abilities
106,16042023 20:18:15,16-19,Male ,Kazakh,Student,Average (full) general,Almaty region,,Yes,Yes,"Критическое мышление , дизайн, архитектура",Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,Kazakh,Kazakh,Yes,Языковой,Онлайн,Both,friends,Voice,"PC, Console, Mobile",Both,"recommendations, Social media, Ads, reviews, gaming websites","Graphics, Storyline, Price, reviews, game publisher, personal interest","No, games don't affect our relationship",No effect,No,"Yes, I discuss games with my closers",No,,.,"fun, friends","gameplay, competition","Yes, I play for the competition","satisfaction, excitement, joy, disappointment",Make the game more interesting,Yes,Positive,.,Well,.,5,Less than 1 hour per week,I only play games on certain days,In the evening,"Action, Strategy, Sports, Role-playing, Simulation",Villains,"abilities, biography, design"
107,16042023 20:53:25,20-25,Male ,Kazakh,Student,Incomplete higher professional education,Almaty region,,Yes,Yes,"Реакция, арифметика, скорочтение, критическое мышление, креативное мышление, программирование",Yes,No,Yes,Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends, community",Voice,"PC, Mobile",Both,"recommendations, Social media","Storyline, Price, reviews, game publisher, personal interest","No, games don't affect our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation, friends","gameplay, new goals, improve skills","No, I play for other purposes","satisfaction, joy",Make the game more interesting,Yes,Positive,Я перешёл из онлайн общения в оффлайн общение с этими людьми,Well,С помощью игр я помогаю снять стресс и расслабиться,3,11-20 hours per week,I only play games on certain days,In the evening,"Action, Puzzle, Strategy, Adventure, Role-playing, Simulation",Neutral characters,"interesting, motives, abilities, style, design"
108,16042023 21:11:39,20-25,Male ,Kazakh,Student,Incomplete higher professional education,Karaganda region,,Yes,Yes,"Обучиться языку, развить логику, реакцию, мыслить и принимать быстрые решения ",Yes,Yes,No,"No, I have no trouble","Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends, community",Voice,PC,Both,"recommendations, reviews, gaming websites","Graphics, Storyline, reviews, personal interest","No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation, achieve","gameplay, improve skills, competition","Yes, I play for the competition","satisfaction, excitement, joy, disappointment",Make the game more interesting,No,,,Well,Поднимают настроение ,3,More than 20 hours per week,I only play games on certain days,In the evening,"Action, Puzzle, Strategy, Simulation",Villains,"interesting, abilities, biography, archetype, style"
109,16042023 21:35:23,12-15,Female ,Kazakh,Schoolkid,Initial general,Almaty region,,Yes,Yes,"Вырабатывает навыки логики, хорошей реакции и импровизации ",Yes,No,Yes,Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Alone,friends,Chat,"Console, Mobile",Both,"recommendations, Social media","reviews, game publisher, personal interest","No, games don't affect our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,fun,"gameplay, new goals, improve skills, better than others","No, I play for other purposes","satisfaction, excitement",Make the game more interesting,No,Positive,,Well,nikak,8,1-5 hours per week,I only play games on certain days,In the evening,"Action, Simulation",Neutral characters,"abilities, style, design"
110,16042023 21:36:59,20-25,Male ,Kazakh,Student,Incomplete higher professional education,Aktobe region,,Yes,Yes,"критическое мышление, логику, ментальную сдержанность",Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Alone,Alone,Chat,Mobile,Both,"Social media, reviews, gaming websites","Storyline, Price, reviews, personal interest","Yes, games improve our relationship",Unsure,Yes,"No, I don't discuss games with my closers",No,,,"fun, relaxation","gameplay, new goals, improve skills, better than others, competition","Yes, I play for the competition","satisfaction, excitement, joy, disappointment, stress","Can affect my game, lead to mistakes",No,Negative,,Well,Улучшает настроение,6,6-10 hours per week,I only play games on certain days,In the evening,"Adventure, Strategy",Neutral characters,"interesting, motives, abilities, biography, archetype"
111,16042023 21:49:46,20-25,Female ,Kazakh,Employed,Higher professional education,East-Kazakhstan region,,No,No,,No,No,No,"No, I have no trouble","Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,16042023 21:53:12,16-19,Female ,Kazakh,Student,Incomplete higher professional education,Karaganda region,,Yes,Yes,"Запоминание, терпение, сосредоточенность ",Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,family,Voice,Mobile,Both,"recommendations, Ads",personal interest,"No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",joy,Make the game more interesting,No,,,Well,Я обычно расслабляюсь после игры,2,Less than 1 hour per week,I only play games on certain days,In the evening,"Action, Strategy, Simulation",Neutral characters,"interesting, "
113,16042023 22:31:28,36-44,Female ,Kazakh,Employed,"Second (third, etc) higher",Karaganda region,,Yes,Unsure,,Yes,No,"No, but before yes","No, I have no trouble","Sometimes, but not often, once every few months",No,No,Russian,Russian,Yes,Языковой,,Both,"Alone, friends",Chat,PC,Both,"recommendations, Ads","reviews, game publisher","No, games don't affect our relationship",No effect,No,"No, I don't discuss games with my closers",No,,,"fun, relaxation","gameplay, new goals","No, I play for other purposes",satisfaction,Make the game more interesting,No,,,Well,Логическое мышление,5,1-5 hours per week,I only play games on certain days,In the evening,Puzzle,Neutral characters,interesting
114,16042023 23:10:44,16-19,Male ,Kazakh,Student,Incomplete higher professional education,Almaty region,,Yes,Unsure,,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends",Voice,PC,Multiplayer,recommendations,"Storyline, reviews","No, games don't affect our relationship",Negatively,No,"No, I don't discuss games with my closers",No,,,"fun, friends",gameplay,"No, I play for other purposes",disappointment,Can affect my mood in real life,No,Negative,,Badly,-,5,Less than 1 hour per week,I only play games on certain days,In the evening,"Action, Sports",Neutral characters,abilities
115,16042023 23:20:31,26-35,Male ,Korean,Unemployed,Higher professional education,Almaty region,,Yes,Yes,"Math, computer science, physics, chemistry, biology, driving all set of analytical skills.",Yes,No,"No, but before yes","No, I have no trouble","Sometimes, but not often, once every few months",No,No,English,English,"No, I can safely play",,,Both,"Alone, community",Chat,"PC, Mobile",Both,"recommendations, reviews, gaming websites","Storyline, personal interest","Yes, games improve our relationship",Unsure,Yes,"Yes, I discuss games with my closers",Yes,SKY,Sky: children of the light,"fun, relaxation","gameplay, new goals","No, I play for other purposes","satisfaction, excitement, joy, disappointment",Make the game more interesting,Yes,Positive,"After game i often continue to think about the game. Thinking about strategy to implement next time, what i could have done better. Wiiling to try some other way to play.",Well,Playing reloads my brain. I can spend some time thinking about how i have played,3,6-10 hours per week,I only play games on certain days,In the evening,"Puzzle, Strategy, Adventure, Role-playing",Villains,"interesting, archetype, style"
116,17042023 0:35:01,16-19,Female ,Kazakh,Student,Average (full) general,Karaganda region,,Yes,Yes,"Скорость мышления, реакция, ",Yes,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,Both,family,Voice,Mobile,Both,"recommendations, Ads","Graphics, Storyline, reviews, personal interest","No, games don't affect our relationship",No effect,No,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes","satisfaction, excitement, joy",Make the game more interesting,No,,,Badly,Нервничаю ,5,Less than 1 hour per week,I only play games on certain days,In the evening,"Puzzle, Sports",Kind characters,abilities
117,17042023 0:58:23,20-25,Male ,Kazakh,Student,Incomplete higher professional education,Zhambyl region,,Yes,Yes,"Attentiveness, soft skills, thinking and reasoning, creativity ",Yes,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",Yes,No,English,Kazakh,"No, I can safely play",,,Both,friends,Voice,"Console, Mobile",Both,"recommendations, Ads","Graphics, Storyline, personal interest","Yes, games improve our relationship",Unsure,Yes,"No, I don't discuss games with my closers",No,,,fun,"gameplay, competition","No, I play for other purposes",joy,Make the game more interesting,No,,,Well,It increases cognitive abilities ,3,Less than 1 hour per week,I only play games on certain days,In the evening,"Action, Strategy, Sports",Neutral characters,"abilities, interpersonal"
118,17042023 1:11:52,16-19,Female ,Kazakh,Student,Initial professional,Almaty region,,Yes,Unsure,,Yes,No,No,Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,Alone,"Alone, friends",Chat,Mobile,Both,Social media,"Graphics, Storyline, reviews, personal interest","No, games don't affect our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes","satisfaction, excitement",Make the game more interesting,No,,,Well,Чувствую себя в каком-то смысле отдохнувшей,2,Less than 1 hour per week,I only play games on certain days,At night,"Action, Adventure",Kind characters,"interesting, abilities, biography, archetype, design"
119,17042023 1:18:05,20-25,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,Yes,Yes,,Yes,Yes,"No, but before yes",I have serious problems sleeping,"Rarely, once or twice a year",No,No,English,I don't communicate with teammates,"No, I can safely play",,,Alone,community,Chat,"PC, Mobile",Singleplayer,"Social media, Ads",Storyline,"No, games don't affect our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,"fun, relaxation",gameplay,"No, I play for other purposes","satisfaction, excitement",Make the game more interesting,No,,,Well,успокаивает ,2,More than 20 hours per week,I only play games on certain days,In the evening,"Puzzle, Strategy, Adventure",Neutral characters,"motives, abilities, archetype"
120,17042023 1:23:24,20-25,Male ,Uzbek,Student,Higher professional education,Almaty region,,Yes,Yes,изучение иностранных языков ,Yes,No,Yes,I have serious problems sleeping,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,With someone,"Alone, friends",Chat,"PC, Console",Both,"recommendations, Social media, Ads","Storyline, Price, personal interest","No, games don't affect our relationship",Negatively,No,"Yes, I discuss games with my closers",No,,,"fun, relaxation","gameplay, competition","No, I play for other purposes","satisfaction, joy",Make the game more interesting,No,,,Well,получаю дозу дофомина,7,1-5 hours per week,I only play games on certain days,At night,"Strategy, Sports",Neutral characters,interesting
121,17042023 5:18:19,45-50,Female ,Kazakh,Unemployed,Higher professional education,Karaganda region,,No,Yes,Быстрая реакция,Yes,No,"No, but before yes",I have serious problems sleeping,"Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,17042023 11:12:31,16-19,Male ,Kazakh,Student,Incomplete higher professional education,Kyzylorda region,,Yes,Yes,"Driving skills, improving the creativity skill.",Yes,No,No,Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,English,English,"No, I can safely play",,,Both,"Alone, community",Chat,"PC, Mobile",Both,"Social media, gaming websites","Graphics, reviews, game publisher, personal interest","No, games don't affect our relationship",No effect,No,"No, I don't discuss games with my closers",No,,,"fun, relaxation, achieve","gameplay, new goals, improve skills, competition","Yes, I play for the competition","satisfaction, excitement, joy",Make the game more interesting,No,,,Well,Слишком долго,4,Less than 1 hour per week,I only play games on certain days,At night,"Strategy, Simulation",Neutral characters,"interesting, archetype, style, design"
123,17042023 12:23:22,26-35,Male ,Russian,Employed,Higher professional education,Karaganda region,,Yes,Yes,Обучение английскому языку,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",Нет,,Both,"community, family",Voice,PC,Both,"recommendations, reviews","Storyline, Price, reviews","No, games don't affect our relationship",Positively,Yes,"No, I don't discuss games with my closers",Yes,,,fun,gameplay,"No, I play for other purposes",satisfaction,Make the game more interesting,No,Positive,Удовольствие ,Well,Эмоциональная разрядка,1,1-5 hours per week,I only play games on certain days,In the evening,"Action, Role-playing",Kind characters,interesting
124,17042023 13:47:08,20-25,Male ,Russian,Student,Higher professional education,East-Kazakhstan region,,Yes,Yes,"Mind control, focus, action planning, creativity",Yes,Yes,"No, but before yes","No, I have no trouble","Rarely, once or twice a year",No,No,English,I don't communicate with teammates,"No, I can safely play",,,Both,"Alone, friends",Voice,PC,Both,"recommendations, Social media","Storyline, personal interest","No, games don't affect our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation, friends",gameplay,"No, I play for other purposes","satisfaction, excitement, joy",Make the game more interesting,No,,,Well,"Relaxation, fun",5,Less than 1 hour per week,I only play games on certain days,At night,"Action, Adventure, Role-playing, Simulation",Neutral characters,"interesting, biography, archetype, style"
125,17042023 16:52:11,20-25,Male ,Kazakh,Student,Incomplete higher professional education,Almaty region,,Yes,Yes,"Моторика рук, Взаимодействие, Решение проблем, Навыки общения, Стратегическое планирование, Лидерство, Распознавание образов/шаблонов, Решение конфликта",Yes,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",Нет,Не знаю,Both,friends,Voice,Console,Both,"recommendations, Social media","Graphics, Storyline, reviews, personal interest","No, games don't affect our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,-,relaxation,gameplay,"No, I play for other purposes",satisfaction,Make the game more interesting,Yes,Negative,Другие тиммэйты злились и полыхал негатив,Well,Поднимает настроение,3,6-10 hours per week,I only play games on certain days,At night,"Action, Sports, Simulation",Neutral characters,style
126,17042023 18:35:20,51+,Male ,Kazakh,Employed,Higher professional education,Abai region,,Yes,Yes,When you are playing video games human brain will work faster ,Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,Yes,Russian,Kazakh,"No, I can safely play",I have not ,I have no problem to comunicate,Both,"Alone, family",Voice,"PC, Mobile",Singleplayer,gaming websites,"Graphics, Storyline, Price, reviews, personal interest","No, games don't affect our relationship",Unsure,No,"Yes, I discuss games with my closers",No,Bek-Askar,FIFA 23,fun,"gameplay, new goals, improve skills","No, I play for other purposes",satisfaction,Make the game more interesting,No,Positive,"To win English PL & LC, it is very cool",Well,I get satisfied ,5,1-5 hours per week,I only play games on certain days,In the afternoon,"Puzzle, Sports",Kind characters,"interesting, "
127,17042023 18:45:15,20-25,Female ,Kazakh,Employed,Incomplete higher professional education,Karaganda region,,Yes,Yes,профессиональные ,Yes,No,No,"No, I have no trouble","Sometimes, but not often, once every few months",Yes,No,English,Russian,"No, I can safely play",.,.,Both,friends,Chat,Mobile,Multiplayer,Social media,reviews,"No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,.,fun,gameplay,"Yes, I play for the competition",satisfaction,Make the game more interesting,No,Positive,чудесные ,Well,прекрасно ,1,Less than 1 hour per week,I only play games on certain days,In the afternoon,Puzzle,Neutral characters,interesting
128,17042023 20:17:45,16-19,Female ,Kazakh,Student,Basic General (incomplete secondary),Zhambyl region,,No,Unsure,. ,No,No,No,"No, I have no trouble","Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,17042023 23:42:50,16-19,Male ,Kazakh,Student,Incomplete higher professional education,Almaty region,,No,Yes,,Yes,Yes,Yes,Sometimes there are small problems,"Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,17042023 23:55:23,16-19,Female ,Kazakh,Student,Incomplete higher professional education,Turkestan region,,Yes,No,,Yes,Yes,"No, but before yes",I often have trouble sleeping,"Quite often, every month or more often",No,No,Russian,Russian,"No, I can safely play",,,With someone,friends,Voice,Console,Both,gaming websites,Storyline,"No, games don't affect our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,fun,improve skills,"No, I play for other purposes",joy,Make the game more interesting,No,,,Well,я чувствую себя хорошо ,5,1-5 hours per week,I only play games on certain days,In the evening,"Action, Puzzle, Adventure",Kind characters,"interesting, abilities"
131,18042023 4:59:20,16-19,Female ,Kazakh,Student,Initial general,Almaty region,,Yes,Unsure,Сосредоточенность ,Yes,No,"No, but before yes","No, I have no trouble","Sometimes, but not often, once every few months",No,No,Russian,Kazakh,"No, I can safely play",,,Both,friends,Voice,"PC, Mobile",Both,"recommendations, Social media",personal interest,"No, games don't affect our relationship",No effect,No,"No, I don't discuss games with my closers",No,,Нету,fun,gameplay,"No, I play for other purposes",joy,Make the game more interesting,No,Positive,,Well,Игры не влияют на мое ментальное здоровье ,9,Less than 1 hour per week,I only play games on certain days,In the afternoon,Puzzle,Kind characters,"interesting, style"
132,18042023 7:47:11,16-19,Female ,Russian,Schoolkid,Initial general,Almaty region,,Yes,Yes,"Концентрация, внимательность, умение планировать и оптимизировать задачи ",Yes,No,Yes,Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends, family",Chat,Mobile,Both,Social media,"Graphics, Storyline, personal interest","No, games don't affect our relationship",Unsure,No,"Yes, I discuss games with my closers",No,,,"fun, relaxation","gameplay, new goals","No, I play for other purposes",satisfaction,Make the game more interesting,No,,,Well,It helps me relax,1,Less than 1 hour per week,I only play games on certain days,In the evening,"Action, Puzzle, Strategy",Neutral characters,"interesting, abilities"
133,18042023 13:02:32,20-25,Male ,Kazakh,Student,Incomplete higher professional education,Abai region,,Yes,Yes,"language skills(pretty much any gamy in the target language), mathematics(certain strategic and edutainment games), history(any games that include historic figures, like Civilization and Assassin'sa Creed franchise), etc.",Yes,No,Yes,I often have trouble sleeping,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends",Chat,"PC, Mobile",Both,"recommendations, Social media, reviews, ","Storyline, Price, reviews, game publisher, personal interest","No, games don't affect our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,"fun, relaxation, achieve",gameplay,"No, I play for other purposes","satisfaction, excitement, joy",Make the game more interesting,No,,,Well,"помогает отвлечся от внешнего мира и забыть о проблемах, ну и просто весело играц, хз",3,More than 20 hours per week,I only play games on certain days,In the evening,"Action, Adventure, Role-playing",Kind characters,"interesting, motives, abilities, biography, archetype, style, design"
134,18042023 17:22:55,16-19,Female ,Uighur,Student,Initial professional,Almaty region,,No,Unsure,,Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,18042023 17:24:55,16-19,Female ,Kazakh,Student,Average (full) general,Turkestan region,,No,Yes,,Yes,No,"No, but before yes","No, I have no trouble","Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,18042023 17:27:29,16-19,Male ,Kazakh,Student,Incomplete higher professional education,Mangystau region,,Yes,Yes,"Играя разные видеоигры,я научился разговаривать на англ языке",Yes,Yes,No,I often have trouble sleeping,"Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,With someone,"Alone, friends, community, family",Voice,PC,Multiplayer,gaming websites,"Graphics, Storyline, personal interest","No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",Yes,WEST SIDE,CS:GO ,relaxation,"gameplay, new goals, improve skills","No, I play for other purposes","satisfaction, disappointment",Can affect my mood in real life,No,Negative,Весь день настроение не было,Well,Реакция,3,More than 20 hours per week,I only play games on certain days,At night,"Action, Strategy",Neutral characters,
137,18042023 17:30:50,16-19,Female ,Kazakh,Student,Incomplete higher professional education,Kyzylorda region,,Yes,Unsure,,Yes,Yes,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Kazakh,"No, I can safely play",,,Both,friends,Chat,Mobile,Both,Social media,"reviews, personal interest","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,fun,"gameplay, new goals","No, I play for other purposes",joy,Can affect my mood in real life,No,,,Badly,.,6,Less than 1 hour per week,I only play games on certain days,In the afternoon,Puzzle,Kind characters,design
138,18042023 17:31:29,20-25,Male ,Kazakh,Student,Average (full) general,Almaty region,,Yes,Yes,"Не знаю, ноьуверен что да",Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,I don't communicate with teammates,Yes,,,Both,friends,Voice,Mobile,Both,recommendations,"Graphics, Storyline, reviews, personal interest","No, games don't affect our relationship",No effect,No,"No, I don't discuss games with my closers",No,,,relaxation,gameplay,"Yes, I play for the competition",satisfaction,Make the game more interesting,No,Positive,,Well,Хорошо,7,Less than 1 hour per week,I only play games on certain days,At night,"Action, Strategy, Adventure, Role-playing",Neutral characters,"style, design"
139,18042023 17:32:37,16-19,Female ,Kazakh,Student,Secondary vocational,Almaty region,,No,Unsure,,Yes,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,18042023 17:34:20,16-19,Female ,Kazakh,Student,Incomplete higher professional education,Pavlodar region,,Yes,Yes,Внимательность ,Yes,Yes,Yes,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,"Alone, community",Voice,Mobile,Both,"reviews, gaming websites","Graphics, Storyline, game publisher, personal interest","No, games don't affect our relationship",Unsure,No,"No, I don't discuss games with my closers",No,,Pabg ,"fun, achieve",new goals,"No, I play for other purposes",satisfaction,Make the game more interesting,Yes,Positive,,Well,.,5,1-5 hours per week,I only play games on certain days,In the afternoon,Sports,Neutral characters,"interesting, style, design"
141,18042023 17:34:22,36-44,Female ,Kazakh,Employed,Academic degree,Turkestan region,,No,Yes,,Yes,No,"No, but before yes","No, I have no trouble",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,18042023 17:34:46,20-25,Male ,Kazakh,Student,Initial professional,Almaty region,,Yes,Yes,Различные ,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Kazakh,"No, I can safely play",,,Both,friends,Voice,Console,Both,recommendations,Graphics,"No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,friends,gameplay,"No, I play for other purposes",excitement,Make the game more interesting,Yes,Positive,Радость ,Well,Я играю редко ,5,Less than 1 hour per week,I only play games on certain days,In the evening,Sports,Neutral characters,abilities
143,18042023 17:39:13,16-19,Female ,Kazakh,Student,Incomplete higher professional education,East-Kazakhstan region,,Yes,Yes,Внимательность,Yes,No,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,I don't communicate with teammates,"No, I can safely play",,,Both,friends,Chat,"PC, Mobile",Both,Social media,"Graphics, Storyline, personal interest","No, games don't affect our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,fun,"gameplay, improve skills","No, I play for other purposes",joy,Make the game more interesting,No,,,Well,Поднимается настроение ,3,Less than 1 hour per week,I only play games on certain days,In the afternoon,"Action, Puzzle, Strategy, Sports, Adventure, Role-playing, Simulation",Kind characters,"interesting, abilities, biography"
144,18042023 17:39:40,16-19,Female ,Kazakh,Student,Initial professional,Almaty region,,No,Unsure,,Yes,Yes,Yes,Sometimes there are small problems,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,18042023 17:44:02,16-19,Female ,Kazakh,Student,Secondary vocational,Kyzylorda region,,Yes,Yes,,Yes,No,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",No,No,Kazakh,Kazakh,"No, I can safely play",,,Both,"Alone, friends",Chat,Mobile,Multiplayer,"recommendations, Ads","Graphics, reviews, personal interest","No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",joy,Make the game more interesting,No,,,Badly,-,5,Less than 1 hour per week,I only play games on certain days,At night,"Adventure, Simulation",Kind characters,"motives, abilities"
146,18042023 17:54:32,16-19,Female ,Kazakh,Student,Average (full) general,Turkestan region,,Yes,Unsure,,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,friends,Chat,Mobile,Multiplayer,recommendations,"Graphics, Storyline, reviews, personal interest","Yes, games improve our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,"fun, friends",gameplay,"No, I play for other purposes","satisfaction, joy",Can affect my mood in real life,No,,,Well,"I don't feel like I could be depressed, I just don't take video games too seriously.",4,1-5 hours per week,I only play games on certain days,In the evening,"Action, Puzzle, Strategy, Sports, Adventure",Neutral characters,"interesting, motives, design"
147,18042023 17:56:04,16-19,Male ,Belorus,Student,Basic General (incomplete secondary),Atyrau region,,Yes,Yes,,Yes,No,"No, but before yes","No, I have no trouble","Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,Alone,friends,Chat,PC,Both,recommendations,Graphics,"Yes, games improve our relationship",No effect,No,"No, I don't discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",excitement,Make the game more interesting,No,,,Well,Легкость на душе  ,4,1-5 hours per week,I only play games on certain days,In the evening,Puzzle,Kind characters,archetype
